"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 18 21:01:27 MSK 2024","Mon Mar 18 21:01:27 MSK 2024","592","","order.OrderGetTest","","order.OrderGetTest","getAllIngredients","Get all ingredients",""
"broken","Mon Mar 18 21:01:29 MSK 2024","Mon Mar 18 21:01:30 MSK 2024","278","","user.UserLoginLogoutTest","","user.UserLoginLogoutTest","userLoginByEmptyPassword","User login is empty password",""
"broken","Mon Mar 18 21:01:30 MSK 2024","Mon Mar 18 21:01:30 MSK 2024","256","","user.UserLoginLogoutTest","","user.UserLoginLogoutTest","userLoginByEmptyEmail","User login is empty email",""
"broken","Mon Mar 18 21:01:32 MSK 2024","Mon Mar 18 21:01:32 MSK 2024","260","","user.UserUpdateTest","","user.UserUpdateTest","updateUserByAuthorization","Update user by authorization",""
"passed","Mon Mar 18 21:01:28 MSK 2024","Mon Mar 18 21:01:28 MSK 2024","266","","user.UserCreateTest","","user.UserCreateTest","userCreateIsEmptyPassword","User create is empty password",""
"failed","Mon Mar 18 21:01:28 MSK 2024","Mon Mar 18 21:01:29 MSK 2024","526","","user.UserCreateTest","","user.UserCreateTest","repeatedRequestByCreateUser","Repeated request by create user",""
"passed","Mon Mar 18 21:01:27 MSK 2024","Mon Mar 18 21:01:27 MSK 2024","370","","user.UserCreateTest","","user.UserCreateTest","userCreateIsEmptyName","User create is empty name",""
"passed","Mon Mar 18 21:01:23 MSK 2024","Mon Mar 18 21:01:23 MSK 2024","640","","order.OrderCreateTest","","order.OrderCreateTest","orderCreateWithoutAuthorization","Create order without authorization",""
"passed","Mon Mar 18 21:01:24 MSK 2024","Mon Mar 18 21:01:25 MSK 2024","889","","order.OrderGetTest","","order.OrderGetTest","getOrderWithoutAuthorizationUser","Get order without authorization user",""
"broken","Mon Mar 18 21:01:28 MSK 2024","Mon Mar 18 21:01:28 MSK 2024","284","","user.UserCreateTest","","user.UserCreateTest","userCreateByValidCredentials","User create by valid credentials",""
"passed","Mon Mar 18 21:01:22 MSK 2024","Mon Mar 18 21:01:23 MSK 2024","866","","order.OrderCreateTest","","order.OrderCreateTest","orderCreateWithoutAuthorizationAndChangeHashIngredient","Create order without authorization and change hash ingredient",""
"broken","Mon Mar 18 21:01:29 MSK 2024","Mon Mar 18 21:01:29 MSK 2024","255","","user.UserDeleteTest","","user.UserDeleteTest","userDeleteByValidCredentials","User delete by valid credentials",""
"passed","Mon Mar 18 21:01:23 MSK 2024","Mon Mar 18 21:01:24 MSK 2024","999","","order.OrderGetTest","","order.OrderGetTest","getAllOrders","Get all orders",""
"broken","Mon Mar 18 21:01:25 MSK 2024","Mon Mar 18 21:01:27 MSK 2024","1376","","order.OrderGetTest","","order.OrderGetTest","getOrderByAuthorizationUser","Get order by authorization user",""
"passed","Mon Mar 18 21:01:28 MSK 2024","Mon Mar 18 21:01:28 MSK 2024","296","","user.UserCreateTest","","user.UserCreateTest","userCreateIsEmptyEmail","User create is empty email",""
"broken","Mon Mar 18 21:01:29 MSK 2024","Mon Mar 18 21:01:29 MSK 2024","276","","user.UserGetTest","","user.UserGetTest","userGetByValidCredentials","Get user by valid credentials",""
"passed","Mon Mar 18 21:01:21 MSK 2024","Mon Mar 18 21:01:22 MSK 2024","390","","order.OrderCreateTest","","order.OrderCreateTest","orderCreateWithoutAuthorizationAndIngredients","Create order without authorization and ingredients",""
"broken","Mon Mar 18 21:01:30 MSK 2024","Mon Mar 18 21:01:31 MSK 2024","1118","","user.UserLoginLogoutTest","","user.UserLoginLogoutTest","userLoginByValidCredentials","User login by valid credentials",""
"broken","Mon Mar 18 21:01:14 MSK 2024","Mon Mar 18 21:01:21 MSK 2024","6935","","order.OrderCreateTest","","order.OrderCreateTest","orderCreateByAuthorization","Create order by authorization",""
"broken","Mon Mar 18 21:01:30 MSK 2024","Mon Mar 18 21:01:30 MSK 2024","249","","user.UserLoginLogoutTest","","user.UserLoginLogoutTest","userLogoutByValidCredentials","User logout by valid credentials",""
"broken","Mon Mar 18 21:01:31 MSK 2024","Mon Mar 18 21:01:32 MSK 2024","549","","user.UserUpdateTest","","user.UserUpdateTest","updateUserWithoutAuthorization","Update user without authorization",""
